move_number,piece,from_square,to_square,is_capture,is_check,is_castle,fen,material_balance,developed_pieces,pst_score,opponent_threats,label,prev_1_piece,prev_1_is_capture,prev_2_piece,prev_2_is_capture
1,1,12,28,False,False,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,0,0,22,good,,,,
2,1,52,44,False,False,False,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,0,0,29,good,1.0,False,,
3,1,11,27,False,False,False,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0,0,0,29,good,1.0,False,1.0,False
4,1,49,41,False,False,False,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,0,0,0,35,good,1.0,False,1.0,False
5,1,8,16,False,False,False,rnbqkbnr/p1pp1ppp/1p2p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,0,0,0,30,inaccuracy,1.0,False,1.0,False
6,3,58,49,False,False,False,rnbqkbnr/p1pp1ppp/1p2p3/8/3PP3/P7/1PP2PPP/RNBQKBNR b KQkq - 0 3,0,0,0,36,good,1.0,False,1.0,False
7,2,1,18,False,False,False,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/P7/1PP2PPP/RNBQKBNR w KQkq - 1 4,0,1,0,31,good,1.0,False,3.0,False
8,2,62,47,False,False,False,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/P1N5/1PP2PPP/R1BQKBNR b KQkq - 2 4,0,2,10,38,good,3.0,False,2.0,False
9,3,2,47,True,False,False,rn1qkb1r/pbpp1ppp/1p2p2n/8/3PP3/P1N5/1PP2PPP/R1BQKBNR w KQkq - 3 5,0,3,20,32,inaccuracy,2.0,False,2.0,False
10,1,54,47,True,False,False,rn1qkb1r/pbpp1ppp/1p2p2B/8/3PP3/P1N5/1PP2PPP/R2QKBNR b KQkq - 0 5,3,3,-30,38,good,2.0,False,3.0,True
11,3,5,12,False,False,False,rn1qkb1r/pbpp1p1p/1p2p2p/8/3PP3/P1N5/1PP2PPP/R2QKBNR w KQkq - 0 6,0,2,20,31,inaccuracy,3.0,True,1.0,True
12,5,59,38,False,False,False,rn1qkb1r/pbpp1p1p/1p2p2p/8/3PP3/P1N5/1PP1BPPP/R2QK1NR b KQkq - 1 6,0,3,20,34,good,1.0,True,3.0,False
13,3,12,30,False,False,False,rn2kb1r/pbpp1p1p/1p2p2p/6q1/3PP3/P1N5/1PP1BPPP/R2QK1NR w KQkq - 2 7,0,3,20,39,blunder,3.0,False,5.0,False
14,1,47,39,False,False,False,rn2kb1r/pbpp1p1p/1p2p2p/6q1/3PP1B1/P1N5/1PP2PPP/R2QK1NR b KQkq - 3 7,0,3,20,33,good,5.0,False,3.0,False
15,2,6,21,False,False,False,rn2kb1r/pbpp1p1p/1p2p3/6qp/3PP1B1/P1N5/1PP2PPP/R2QK1NR w KQkq - 0 8,0,3,20,36,blunder,3.0,False,1.0,False
16,5,38,46,False,False,False,rn2kb1r/pbpp1p1p/1p2p3/6qp/3PP1B1/P1N2N2/1PP2PPP/R2QK2R b KQkq - 1 8,0,4,30,34,good,1.0,False,2.0,False
17,2,21,31,False,False,False,rn2kb1r/pbpp1p1p/1p2p1q1/7p/3PP1B1/P1N2N2/1PP2PPP/R2QK2R w KQkq - 2 9,0,4,30,30,blunder,2.0,False,5.0,False
18,5,46,38,False,False,False,rn2kb1r/pbpp1p1p/1p2p1q1/7p/3PP1BN/P1N5/1PP2PPP/R2QK2R b KQkq - 3 9,0,4,10,35,good,5.0,False,2.0,False
19,3,30,39,True,False,False,rn2kb1r/pbpp1p1p/1p2p3/6qp/3PP1BN/P1N5/1PP2PPP/R2QK2R w KQkq - 4 10,0,4,10,36,good,2.0,False,5.0,False
20,5,38,31,True,False,False,rn2kb1r/pbpp1p1p/1p2p3/6qB/3PP2N/P1N5/1PP2PPP/R2QK2R b KQkq - 0 10,1,4,10,35,good,5.0,False,3.0,True
21,5,3,21,False,False,False,rn2kb1r/pbpp1p1p/1p2p3/7B/3PP2q/P1N5/1PP2PPP/R2QK2R w KQkq - 0 11,-2,3,60,35,good,3.0,True,5.0,True
22,6,60,59,False,False,False,rn2kb1r/pbpp1p1p/1p2p3/7B/3PP2q/P1N2Q2/1PP2PPP/R3K2R b KQkq - 1 11,-2,3,60,34,good,5.0,True,5.0,False
23,5,21,53,True,False,False,rn1k1b1r/pbpp1p1p/1p2p3/7B/3PP2q/P1N2Q2/1PP2PPP/R3K2R w KQ - 2 12,-2,3,60,36,good,5.0,False,6.0,False
24,2,57,42,False,False,False,rn1k1b1r/pbpp1Q1p/1p2p3/7B/3PP2q/P1N5/1PP2PPP/R3K2R b KQ - 0 12,-1,3,70,41,good,6.0,False,5.0,True
25,5,53,60,False,False,False,r2k1b1r/pbpp1Q1p/1pn1p3/7B/3PP2q/P1N5/1PP2PPP/R3K2R w KQ - 1 13,-1,4,60,38,good,5.0,True,2.0,False
1,1,11,27,False,False,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,0,0,22,good,,,,
2,1,51,35,False,False,False,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0,0,0,28,good,1.0,False,,
3,2,6,21,False,False,False,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,0,0,0,28,good,1.0,False,1.0,False
4,2,62,45,False,False,False,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,0,1,10,29,good,1.0,False,2.0,False
5,1,12,20,False,False,False,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,0,2,0,29,good,2.0,False,2.0,False
6,3,58,37,False,False,False,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,0,2,0,31,good,2.0,False,1.0,False
7,2,21,31,False,False,False,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,0,3,0,29,inaccuracy,1.0,False,3.0,False
8,3,37,46,False,False,False,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P3N/4P3/PPP2PPP/RNBQKB1R b KQkq - 2 4,0,3,-20,33,good,3.0,False,2.0,False
9,2,31,46,True,False,False,rn1qkb1r/ppp1pppp/5nb1/3p4/3P3N/4P3/PPP2PPP/RNBQKB1R w KQkq - 3 5,0,3,-20,29,good,2.0,False,3.0,False
10,1,55,46,True,False,False,rn1qkb1r/ppp1pppp/5nN1/3p4/3P4/4P3/PPP2PPP/RNBQKB1R b KQkq - 0 5,3,2,-10,35,good,3.0,False,2.0,True
11,2,1,11,False,False,False,rn1qkb1r/ppp1ppp1/5np1/3p4/3P4/4P3/PPP2PPP/RNBQKB1R w KQkq - 0 6,0,1,-20,30,good,2.0,True,1.0,True
12,1,52,44,False,False,False,rn1qkb1r/ppp1ppp1/5np1/3p4/3P4/4P3/PPPN1PPP/R1BQKB1R b KQkq - 1 6,0,2,-10,32,good,1.0,True,2.0,False
